"","HOUR_IN_YEAR","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT","GLOBAL"
"6210",4913,7,16,72.0289855072464,62.6231884057971,134.652173913043
"6585",4914,7,17,55.536231884058,43.1449275362319,98.6811594202899
"6960",4915,7,18,39.2463768115942,23.0579710144928,62.304347826087
"7335",4916,7,19,21.5652173913043,9,30.5652173913043
"7710",4917,7,20,5.8695652173913,0.971014492753623,6.84057971014493
"8085",4918,7,21,0,0,0
"8460",4919,7,22,0,0,0
"8835",4920,7,23,0,0,0
"211",4921,7,0,0,0,0
"586",4922,7,1,0,0,0
"961",4923,7,2,0,0,0
"1336",4924,7,3,0,0,0
"1711",4925,7,4,0,0,0
"2086",4926,7,5,4.26086956521739,0.898550724637681,5.15942028985507
"2461",4927,7,6,18.768115942029,8.15942028985507,26.9275362318841
"2836",4928,7,7,35.7536231884058,27.9420289855072,63.695652173913
"3211",4929,7,8,54.8260869565217,50.0144927536232,104.840579710145
"3586",4930,7,9,74.2463768115942,67.463768115942,141.710144927536
"3961",4931,7,10,82.1739130434783,84.463768115942,166.63768115942
"4336",4932,7,11,96.1884057971015,93.2608695652174,189.449275362319
"4711",4933,7,12,103.144927536232,100.855072463768,204
"5086",4934,7,13,101.724637681159,95.9420289855072,197.666666666667
"5461",4935,7,14,94.6811594202899,98.2463768115942,192.927536231884
"5836",4936,7,15,83.9855072463768,87.0144927536232,171
"6211",4937,7,16,74.3333333333333,64.4347826086957,138.768115942029
"6586",4938,7,17,57.231884057971,44.6811594202899,101.913043478261
"6961",4939,7,18,39.9558823529412,27.0588235294118,67.0147058823529
"7336",4940,7,19,21.6086956521739,9.91304347826087,31.5217391304348
"7711",4941,7,20,6.1304347826087,1.01449275362319,7.14492753623188
"8086",4942,7,21,0,0,0
"8461",4943,7,22,0,0,0
"8836",4944,7,23,0,0,0
"212",4945,7,0,0,0,0
"587",4946,7,1,0,0,0
"962",4947,7,2,0,0,0
"1337",4948,7,3,0,0,0
"1712",4949,7,4,0,0,0
"2087",4950,7,5,5.07246376811594,0.63768115942029,5.71014492753623
"2462",4951,7,6,19.695652173913,8.46376811594203,28.1594202898551
"2837",4952,7,7,36.6666666666667,24.1594202898551,60.8260869565217
"3212",4953,7,8,54.0579710144928,46.536231884058,100.594202898551
"3587",4954,7,9,71.8115942028985,72.1159420289855,143.927536231884
"3962",4955,7,10,81.1449275362319,86.304347826087,167.449275362319
"4337",4956,7,11,94.5217391304348,88.8840579710145,183.405797101449
"4712",4957,7,12,103.579710144928,96.0579710144928,199.63768115942
"5087",4958,7,13,100,97.3913043478261,197.391304347826
"5462",4959,7,14,92.2028985507246,85.1304347826087,177.333333333333
"5837",4960,7,15,85.8840579710145,77.0434782608696,162.927536231884
"6212",4961,7,16,71.7536231884058,65.5652173913043,137.31884057971
"6587",4962,7,17,54.6376811594203,44.0144927536232,98.6521739130435
"6962",4963,7,18,35.9565217391304,24.3188405797101,60.2753623188406
"7337",4964,7,19,20.3188405797101,8.73913043478261,29.0579710144928
"7712",4965,7,20,5.39130434782609,0.63768115942029,6.02898550724638
"8087",4966,7,21,0,0,0
"8462",4967,7,22,0,0,0
"8837",4968,7,23,0,0,0
"213",4969,7,0,0,0,0
"588",4970,7,1,0,0,0
"963",4971,7,2,0,0,0
"1338",4972,7,3,0,0,0
"1713",4973,7,4,0,0,0
"2088",4974,7,5,4.14492753623188,0.478260869565217,4.6231884057971
"2463",4975,7,6,19.4782608695652,6.2463768115942,25.7246376811594
"2838",4976,7,7,36.6376811594203,23.3478260869565,59.9855072463768
